raw_filename,organized_path,year_dir,series,paper,doctype,size_bytes,sha256_16
1BS0_01_msc_20210211.pdf,organized/2020/Edexcel-GCSE-Business-1BS0-Nov2020-Paper01-MarkScheme.pdf,2020,Nov2020,01,MarkScheme,252040,7b7622e11b75462c
1BS0_01_pef_20190822.pdf,organized/2019/Edexcel-GCSE-Business-1BS0-June2019-Paper01-ExaminerReport.pdf,2019,June2019,01,ExaminerReport,3906865,5df25d4ed400773d
1BS0_01_pef_20210211.pdf,organized/2020/Edexcel-GCSE-Business-1BS0-Nov2020-Paper01-ExaminerReport.pdf,2020,Nov2020,01,ExaminerReport,177921,1ec753e3cea507bf
1BS0_01_pef_20220224.pdf,organized/2021/Edexcel-GCSE-Business-1BS0-Nov2021-Paper01-ExaminerReport.pdf,2021,Nov2021,01,ExaminerReport,177641,65404a6bedb64e03
1BS0_01_que_20190525.pdf,organized/2019/Edexcel-GCSE-Business-1BS0-June2019-Paper01-QuestionPaper.pdf,2019,June2019,01,QuestionPaper,873023,33dc4851abcc34dd
1BS0_01_que_20201110.pdf,organized/2020/Edexcel-GCSE-Business-1BS0-Nov2020-Paper01-QuestionPaper.pdf,2020,Nov2020,01,QuestionPaper,927820,d2121e4e44b63047
1BS0_01_que_20211123.pdf,organized/2021/Edexcel-GCSE-Business-1BS0-Nov2021-Paper01-QuestionPaper.pdf,2021,Nov2021,01,QuestionPaper,848914,efefe6aeeeef058a
1BS0_01_rms_20190822.pdf,organized/2019/Edexcel-GCSE-Business-1BS0-June2019-Paper01-MarkScheme.pdf,2019,June2019,01,MarkScheme,330208,d917dd622eea44cb
1BS0_01_rms_20220224.pdf,organized/2021/Edexcel-GCSE-Business-1BS0-Nov2021-Paper01-MarkScheme.pdf,2021,Nov2021,01,MarkScheme,296596,f8f2c2b7d9800018
1BS0_02_msc_20210211.pdf,organized/2020/Edexcel-GCSE-Business-1BS0-Nov2020-Paper02-MarkScheme.pdf,2020,Nov2020,02,MarkScheme,274060,022a24ec5a11f93a
1BS0_02_pef_20190822.pdf,organized/2019/Edexcel-GCSE-Business-1BS0-June2019-Paper02-ExaminerReport.pdf,2019,June2019,02,ExaminerReport,4242543,4f8374bf4bea8e75
1BS0_02_pef_20210211.pdf,organized/2020/Edexcel-GCSE-Business-1BS0-Nov2020-Paper02-ExaminerReport.pdf,2020,Nov2020,02,ExaminerReport,174665,993ce39e14bcdf74
1BS0_02_que_20190605.pdf,organized/2019/Edexcel-GCSE-Business-1BS0-June2019-Paper02-QuestionPaper.pdf,2019,June2019,02,QuestionPaper,1718118,567471d22cadbf55
1BS0_02_que_20201117.pdf,organized/2020/Edexcel-GCSE-Business-1BS0-Nov2020-Paper02-QuestionPaper.pdf,2020,Nov2020,02,QuestionPaper,914699,2991d8ac40b38c7e
1BS0_02_que_20211127.pdf,organized/2021/Edexcel-GCSE-Business-1BS0-Nov2021-Paper02-QuestionPaper.pdf,2021,Nov2021,02,QuestionPaper,1153666,1b05bc349c1c6506
1BS0_02_rms_20190822.pdf,organized/2019/Edexcel-GCSE-Business-1BS0-June2019-Paper02-MarkScheme.pdf,2019,June2019,02,MarkScheme,233879,93107ea135b7fb94
1BS0_02_rms_20220224.pdf,organized/2021/Edexcel-GCSE-Business-1BS0-Nov2021-Paper02-MarkScheme.pdf,2021,Nov2021,02,MarkScheme,284517,53303eb31642a452
1bs0-01-pef-20220825.pdf,organized/2022/Edexcel-GCSE-Business-1BS0-June2022-Paper01-ExaminerReport.pdf,2022,June2022,01,ExaminerReport,4886997,9eea41b95e79c8b5
1bs0-01-pef-20230824.pdf,organized/2023/Edexcel-GCSE-Business-1BS0-June2023-Paper01-ExaminerReport.pdf,2023,June2023,01,ExaminerReport,5704339,3da2124ea18aad73
1bs0-01-pef-20240822.pdf,organized/2024/Edexcel-GCSE-Business-1BS0-June2024-Paper01-ExaminerReport.pdf,2024,June2024,01,ExaminerReport,6791205,4bb09d50df856fa0
1bs0-01-que-20220521.pdf,organized/2022/Edexcel-GCSE-Business-1BS0-June2022-Paper01-QuestionPaper.pdf,2022,June2022,01,QuestionPaper,878031,37e0d3f0f30e49b4
1bs0-01-que-20230519.pdf,organized/2023/Edexcel-GCSE-Business-1BS0-June2023-Paper01-QuestionPaper.pdf,2023,June2023,01,QuestionPaper,1101393,1cbcfba3725a3a03
1bs0-01-que-20240515.pdf,organized/2024/Edexcel-GCSE-Business-1BS0-June2024-Paper01-QuestionPaper.pdf,2024,June2024,01,QuestionPaper,829826,f3495afc36f3a080
1bs0-01-rms-20220825.pdf,organized/2022/Edexcel-GCSE-Business-1BS0-June2022-Paper01-MarkScheme.pdf,2022,June2022,01,MarkScheme,275829,d7a704b2b08bc3cf
1bs0-01-rms-20230824.pdf,organized/2023/Edexcel-GCSE-Business-1BS0-June2023-Paper01-MarkScheme.pdf,2023,June2023,01,MarkScheme,327249,952dbdab75ddab54
1bs0-01-rms-20240822.pdf,organized/2024/Edexcel-GCSE-Business-1BS0-June2024-Paper01-MarkScheme.pdf,2024,June2024,01,MarkScheme,329582,5bb90c356bf103ce
1bs0-02-pef-20220224.pdf,organized/2021/Edexcel-GCSE-Business-1BS0-Nov2021-Paper02-ExaminerReport.pdf,2021,Nov2021,02,ExaminerReport,178578,5dd3733697e0e936
1bs0-02-pef-20220825.pdf,organized/2022/Edexcel-GCSE-Business-1BS0-June2022-Paper02-ExaminerReport.pdf,2022,June2022,02,ExaminerReport,5769686,3aa78a7258499c86
1bs0-02-pef-20230824.pdf,organized/2023/Edexcel-GCSE-Business-1BS0-June2023-Paper02-ExaminerReport.pdf,2023,June2023,02,ExaminerReport,5926575,d7aaa9e9b238e524
1bs0-02-pef-20240822.pdf,organized/2024/Edexcel-GCSE-Business-1BS0-June2024-Paper02-ExaminerReport.pdf,2024,June2024,02,ExaminerReport,5743475,60fe0861711fac9f
1bs0-02-que-20220614.pdf,organized/2022/Edexcel-GCSE-Business-1BS0-June2022-Paper02-QuestionPaper.pdf,2022,June2022,02,QuestionPaper,1341042,8c29003001ad44a2
1bs0-02-que-20230613.pdf,organized/2023/Edexcel-GCSE-Business-1BS0-June2023-Paper02-QuestionPaper.pdf,2023,June2023,02,QuestionPaper,793165,2b5e3575bbe93074
1bs0-02-que-20240606.pdf,organized/2024/Edexcel-GCSE-Business-1BS0-June2024-Paper02-QuestionPaper.pdf,2024,June2024,02,QuestionPaper,2281911,8e358c23ac5737e9
1bs0-02-rms-20220825.pdf,organized/2022/Edexcel-GCSE-Business-1BS0-June2022-Paper02-MarkScheme.pdf,2022,June2022,02,MarkScheme,300023,f42dc56e77af25f8
1bs0-02-rms-20230824.pdf,organized/2023/Edexcel-GCSE-Business-1BS0-June2023-Paper02-MarkScheme.pdf,2023,June2023,02,MarkScheme,268174,28fa37ff338072f1
1bs0-02-rms-20240822.pdf,organized/2024/Edexcel-GCSE-Business-1BS0-June2024-Paper02-MarkScheme.pdf,2024,June2024,02,MarkScheme,330712,e976d35606eab843
A0794a-GCSE-Business-Switching-Guide.pdf,organized/teaching/Edexcel-GCSE-Business-1BS0-SwitchingGuide.pdf,teaching,SwitchingGuide,,OtherMaterial,2132900,8b8e1c3a81b125fc
GCSE_Business_Subject_Guide.pdf,organized/teaching/Edexcel-GCSE-Business-1BS0-SubjectGuide.pdf,teaching,SubjectGuide,,OtherMaterial,235714,38990c6ea680cb87
